PWSID,pws_name,total_samples,total_results,any_detection,ever_exceeded_federal_mcl,max_pfoa_ppt,max_pfos_ppt,num_pfas_detected,max_pfas6_sum_ppt,ever_exceeded_ma_mmcl
MA4167000,MANSFIELD WATER DIVISION,6,174,True,True,4.3,6.2,4,18.6,False
MA4169000,MARION WATER DIVISION,2,58,False,False,,,0,10.5,False
MA4171000,MARSHFIELD WATER DEPARTMENT,44,903,True,True,7.0,4.6,7,17.2,False
MA4172039,MASHPEE WATER DISTRICT,12,348,True,False,,,1,10.5,False
MA4173000,MATTAPOISETT WATER DEPARTMENT,2,58,False,False,,,0,10.5,False
MA4173001,MATTAPOISETT RIVER VALLEY W.D.,3,87,False,False,,,0,10.5,False
MA4182000,MIDDLEBOROUGH WATER SUPPLY,20,580,True,True,11.0,5.0,8,25.5,True
MA4197000,WANNACOMET WATER COMPANY,4,87,False,False,,,0,10.5,False
MA4201000,CITY OF NEW BEDFORD DPI,5,116,True,False,,,1,10.5,False
MA4211000,NORTH ATTLEBORO WATER DEPT,8,232,True,True,9.0,8.0,8,27.0,True
MA4218000,NORTON WATER DEPARTMENT,6,174,True,True,8.8,4.0,7,23.6,True
MA4219000,NORWELL WATER DEPARTMENT,6,174,True,True,9.9,18.4,7,37.0,True
MA4220000,NORWOOD WATER DEPT. (MWRA),4,116,False,False,,,0,10.5,False
MA4221000,OAK BLUFFS WATER DISTRICT,10,290,True,False,,,2,10.5,False
MA4224000,ORLEANS WATER DEPARTMENT,4,116,False,False,,,0,10.5,False
MA4231000,PEMBROKE WATER DIVISION DPW,8,174,True,False,,,2,10.5,False
MA4238000,PLAINVILLE WATER DEPARTMENT,10,232,True,True,4.3,5.8999999999999995,4,16.7,False
MA4239000,"PLYMOUTH WATER DEPARTMENT, MA",27,638,True,False,,,2,10.5,False
MA4239055,"PINEHILLS WATER COMPANY, INC.",2,58,True,False,,,1,10.5,False
MA4242000,PROVINCETOWN WATER DEPARTMENT,4,116,False,False,,,0,10.5,False
MA4244000,RANDOLPH WATER DEPARTMENT,5,116,True,True,7.3,13.0,6,26.3,True
MA4245000,RAYNHAM CENTER WATER DISTRICT,6,174,True,True,92.0,,7,128.4,True
MA4245002,NORTH RAYNHAM WATER DISTRICT,4,116,True,False,,,1,10.5,False
MA4261000,SANDWICH WATER DISTRICT,23,580,False,False,,,0,21.0,True
MA4261024,UPPER CAPE REGIONAL WATER COOPERATIVE,6,145,False,False,,,0,10.5,False
MA4264000,SCITUATE WATER DIVISION,11,290,True,True,5.6,5.7,4,17.7,False
MA4265000,SEEKONK WATER DISTRICT,2,58,True,True,,5.0,1,13.5,False
MA4266000,SHARON WATER DEPT,12,348,True,True,8.1,15.0,6,57.1,True
MA4273000,SOMERSET WATER DEPARTMENT,4,116,False,False,,,0,10.5,False
MA4285000,STOUGHTON WATER DEPARTMENT,6,149,True,True,7.3,6.3,5,18.7,False
MA4292000,SWANSEA WATER DISTRICT,14,348,True,True,5.1000000000000005,,6,16.7,False
MA4293000,TAUNTON WATER DIVISION,5,116,False,False,,,0,10.5,False
MA4296000,TISBURY WATER WORKS,6,174,False,False,,,0,10.5,False
MA4307000,WALPOLE WATER DEPT,5,116,True,False,4.0,4.0,6,16.0,False
MA4310000,WAREHAM FIRE DISTRICT,4,116,False,False,,,0,10.5,False
MA4310003,ONSET FIRE DISTRICT,4,116,True,True,,7.1000000000000005,1,15.600000000000001,False
MA4322000,WEST BRIDGEWATER WATER DEPT,8,232,True,True,5.5,,5,14.0,False
MA4336000,WEYMOUTH WATER DEPARTMENT,6,174,True,False,,,1,10.5,False
MA4338000,WHITMAN WATER SYSTEM,4,116,True,False,,,4,10.5,False
MA4350000,WRENTHAM WATER DIVISION,6,174,True,True,5.7,4.4,5,16.6,False
MA4351000,YARMOUTH WATER DEPARTMENT,31,870,True,False,,,5,16.7,False
